rGA:n2-Pc1-Pm0.01,rGA:n2-Pc0.9-Pm0.01,rGA:n2-Pc0.5-Pm0.01,rGA:n2-Pc0.1-Pm0.01,rGA:n2-Pc0-Pm0.01
3.5880199999999998,4.65143,4.63389,4.09324,4.2080400000000004
3.58736,4.56466,4.63389,4.09324,4.2080400000000004
3.58736,4.56466,4.605919999999999,4.09094,4.206840000000001
3.58736,4.56466,4.605919999999999,4.02525,4.206840000000001
3.5133400000000004,4.5597199999999996,4.22964,4.02024,4.1077
3.46666,4.5597199999999996,4.22086,4.02024,4.100169999999999
3.4632,4.53229,4.22086,3.91742,4.100169999999999
3.4518199999999997,4.53229,4.21663,3.84041,4.100169999999999
3.4451300000000002,4.3866,4.21075,3.72265,4.08732
3.44147,4.3866,4.20921,3.71325,4.0603
3.3777,4.38574,4.13055,3.69087,4.0603
3.3768800000000003,4.38574,4.10963,3.69087,4.0519300000000005
3.37448,4.38574,4.10873,3.69087,3.9909800000000004
3.37448,4.37258,4.10873,3.6903599999999996,3.97116
3.37448,4.35093,4.10352,3.6890199999999997,3.9628400000000004
3.3253199999999996,4.35067,4.10352,3.5901300000000003,3.9620900000000003
3.3253199999999996,4.35067,4.09382,3.5901300000000003,3.9620900000000003
3.29932,4.334569999999999,4.09382,3.5901300000000003,3.9620900000000003
3.2982699999999996,4.3307400000000005,4.09382,3.37659,3.9620900000000003
3.2982699999999996,4.3307400000000005,4.09382,3.3486800000000003,3.9620900000000003
3.2848599999999997,4.3307400000000005,4.09382,3.3486800000000003,3.9365900000000003
3.25312,4.315169999999999,4.0921,3.25264,3.9365900000000003
3.25312,4.31358,4.040080000000001,3.25264,3.93647
3.24342,4.31358,4.01746,3.2397400000000003,3.93079
3.24342,4.29266,3.9788900000000003,3.21676,3.93079
3.19497,4.2276,3.9779699999999996,3.21676,3.9255
3.19497,4.22236,3.97755,3.21449,3.88551
3.19497,4.1857,3.9718,3.1975,3.7793099999999997
3.19256,4.1857,3.9718,3.1975,3.7769999999999997
3.19256,4.16478,3.9718,3.19303,3.75964
3.1848099999999997,4.09553,3.9718,3.16614,3.72433
3.1848099999999997,4.09553,3.93258,3.14648,3.72433
3.15901,4.07327,3.87702,3.14316,3.72433
3.11027,4.04419,3.87702,3.1055,3.72433
3.11027,4.0256,3.87625,3.09902,3.72433
3.09824,4.02284,3.87625,3.07935,3.47773
3.09824,4.02284,3.87497,3.06002,3.47773
3.09295,4.02284,3.87497,3.00743,3.47773
3.09295,4.02284,3.8722800000000004,2.9628400000000004,3.47632
3.09295,4.00092,3.8563,2.9628400000000004,3.47632
3.09295,3.94777,3.83891,2.9628400000000004,3.42558
